RAZA TAM PES VEL INT AFE AGR FUN
bass peq liv len baj baj alt caz
beau gra med alt med alt alt uti
boxe med med med med alt alt com
buld peq liv len med alt baj com
bulm gra pes len alt baj alt uti
cani peq liv med alt alt baj com
chih peq liv len baj alt baj com
cock med liv len med alt alt com
coll gra med alt med alt baj com
dalm med med med med alt baj com
dobe gra med alt alt baj alt uti
dogo gra pes alt baj baj alt uti
foxh gra med alt baj baj alt caz
foxt peq liv med med alt alt com
galg gra med alt baj baj baj caz
gasc gra med med baj baj alt caz
labr med med med med alt baj caz
masa gra med alt alt alt alt uti
mast gra pes len baj baj alt uti
peki peq liv len baj alt baj com
podb med med med alt alt baj caz
podf gra med med med baj baj caz
poin gra med alt alt baj baj caz
sett gra med alt med baj baj caz
stbe gra pes len med baj alt uti
teck peq liv len med alt baj com
tern gra pes len med baj baj uti
